key,alt,answer
責任,"zérèn (責任, 责任)","need, care, encumbrance, buck, accountability, blame, obligation, turn, load, responsibleness, incumbrance, responsibility, onus, commission, burden, commitment, loading, trust, pigeon, charge, business, fault, place, liability, duty, guardianship"
說明,"shuōmíng (說明, 说明)","explain, illustrate, show"
工業,"gōngyè (工業, 工业)","industrial, industry"
大量,"dàliàng (大量, 大量)","det.: any numer of,  a great many"
逐漸,"zhújiàn (逐漸, 逐渐)","step_by_step, by degrees, gradually"
心理,"xīnlǐ (心理, 心理)","mental_state, psychology, mentality"
一點,"yīdiǎn (一點, 一点)",det.: a little bit
供,"gōng (供, 供)","supply, feed, be for the use/convenience of"
須,"xū (須, 须)","must, have to"
簡單,"jiǎndān (簡單, 简单)","terse, casual, commonplace, simple, oversimplified, ordinary, uncomplicated"
運用,"yùnyòng (運用, 运用)","utilize, wield, apply"
觀察,"guānchá (觀察, 观察)","observe, survey, inspect"
往往,"wǎngwǎng (往往, 往往)","oftentimes, ofttimes, always, more often than not, frequently, oft, often"
規劃,"guīhuà (規劃, 规划)","plan, program"
減少,"jiǎnshǎo (減少, 减少)","reduce, decrease"
重新,"chóngxīn (重新, 重新)","over_again, newly, afresh, anew, again"
業務,"yèwù (業務, 业务)","service, practice, vocational work, line of work, affair, line, occupation, professional work, business, transaction"
報導,"bàodǎo (報導, 报导)","report,"
仍然,"réngrán (仍然, 仍然)","still, yet"
感到,"gǎndào (感到, 感到)","feel, sense"
領域,"lǐngyū (領域, 领域)","demesne, line of business, field of operation, country, background, terrain, realm, part, arena, sphere of influence, setting, territory, precinct, radius, scope, domain, sphere, frontier, orbit, preserve, area, world, kingdom, ambit, signory, province, region, field, universe, hemisphere"
有效,"yǒuxiào (有效, 有效)","run, stand, valid, effective, efficacious, avail, make, hold"
女,"nǔ (女, 女)","girl, female, woman, neodymium, hen, daughter, beaver, creature"
從事,"cóngshì (從事, 从事)","engross, have, join, treat, plow, handle, follow, embark, undertake, attend_to, attack, occupy, absorb, go_into, work, engage, prosecute, go_about, go in for, pursue, be, meddle, embark_on, perform, enter, cover, deal, address, be engaged in, deal with, place, wage"
發揮,"fāhuī (發揮, 发挥)","bring into play, give free rein to, develop idea/etc. , elaborate"
人才,"réncái (人才, 人才)","talent, capable person, a talented person, qualified personnel, a person of ability"
反而,"fǎnér (反而, 反而)","conj.: on the contrary,  instead"
行政,"xíngzhèng (行政, 行政)",administration
銀行,"yínháng (銀行, 银行)","jug, depository financial institution, bank building, banking company, banking concern, bank"
公共,"gōnggòng (公共, 公共)","common, commonly, publicly, public, communal"
媒體,"méitǐ (媒體, 媒体)","mass media, media, medium"
提高,"tígāo (提高, 提高)","raise, heighten, enhance, increase, improve"
代,"dài (代, 代)","period, generation"
社區,"shèqū (社區, 社区)",community
力量,"lìliàng (力量, 力量)","fibre, strength, potency, ability, guts, kick, cogency, point, dint, energy, mightiness, physical strength, demon, force, punch, whiz, tooth, might, forcefulness, exercise, fiber, powerfulness, lift, pith, leverage, agency, push, muscle, power"
教育部,"jiàoyūbù (教育部, 教育部)","Education, Ministry of Education, Department of Education, Education Department"
愈,"yū (愈, 愈)",the more...
超過,"chāoguò (超過, 超过)","overpass, overreach, outwalk, outstrip, overstep, outmarch, distance, pass, overstride, outpace, overtop, surpass, crown, exceed, overtake, preponderate, overrun, top, outrun, go_over, transcend, outrange, transgress, go past, break, excess, overhaul, overshine"
維持,"wéichí (維持, 维持)","keep, preserve"
家長,"jiāzhǎng (家長, 家长)","masterman, housemaster, graybeard, patriarch, parent of schoolchildren, patriarchal, goodman, patriarchate, paterfamilias, the head of a family, genearch, patriarchy, householder, head of household, the parent or guadian of a child"
結合,"jiéhé (結合, 结合)","combine, unite, integrate, link, be joined in wedlock"
校長,"xiàozhǎng (校長, 校长)","prexy, head, principal, headteacher, schoolmaster, master, warden, president, beak, rector, superintendent, director, head teacher, preceptor, headmaster, chancellor, school principal"
通常,"tōngcháng (通常, 通常)","normal, commonly, customarily, more often than not, general, usual, on average, as a rule, ordinarily, mostly, as usual, typically, generally, normally, by and large, unremarkably, on the average, usually"
缺乏,"quēfá (缺乏, 缺乏)","be short of,  lack"
委員,"wěiyuán (委員, 委员)","commissar, committee man, committee, committee member, commissioner, committeeman, delegate, board member, commissary"
特色,"tèsè (特色, 特色)","motif, a character, a characteristic, manner, trait, differentiation, flavor, colour, singularity, distinction, characteristic, hue, stripe, physiognomy, a distinguishing feature, idiom, specialty, character, difference, particular, distinguishing feature, distinguishing feature/quality, salience, coloration, distinguishing quality, specific, feature, peculiarity, artistic st"
有時,"yǒushí (有時, 有时)","now and then, at times, betweentimes, from time to time, sometimes"
教師,"jiàoshī (教師, 教师)","beak, don, school teacher, schoolman, teacher, schoolmaster, preceptor, professor, pedagogue, schoolteacher, coach, master, instructor, educator, preceptorship"
之前,"zhīqián (之前, 之前)","before,  prior to,  ago"
遠,"yuǎn (遠, 远)","far, distant lit./fig."
控制,"kòngzhì (控制, 控制)","control, dominate, command"
否則,"fǒuzé (否則, 否则)","conj.: otherwise, if not, or else"
法,"fǎ (法, 法)","law, method, way, mode, standard, model, legalists, Legalist School, Buddhist doctrine, dharma, magic arts"
少,"shǎo (少, 少)","lack, be deficient, lose, be missing"
原則,"yuánzé (原則, 原则)","god, rule, formula, regulation, principle, fundamental, axiom, basis, linguistic rule, faith, principium"
臉,"liǎn (臉, 脸)","map, mug, kisser, puss, visage, snoot, frontispiece, pan, smiler, mazzard, mush, facial, countenance, phiz, figurehead, face, physiognomy, front, human face"
通過,"tōngguò (通過, 通过)","adopt, pass, carry motion/legislation"
建議,"jiànyì (建議, 建议)","propose, suggest, recommend"
工具,"gōngjù (工具, 工具)","stock in trade, instrumentality, instrument, ministry, hand_tool, escalator, creature, utensil, material, gear, pawn, lobster"
作業,"zuòyè (作業, 作业)","school assignment, work, task, operation, production"
達,"dá (達, 达)","lead, attain, extend, amount to, ryke, express, attainment, inform, reach"
節目,"jiémù (節目, 节目)","item, item on program , programme, act, telecast, number, program"
智慧,"zhìhuì (智慧, 智慧)","lore, sapiency, sconce, wit, intelligence, gumption, savvy, wiseness, soundness, wisdom, grey_matter, sapience"
來自,"láizì (來自, 来自)","come from, originate from, come, stem/originate from, attach_to, stem, come/stem/originate from, hail"
變化,"biànhuà (變化, 变化)","change, transformation"
同樣,"tóngyàng (同樣, 同样)","same, equal, similar"
形式,"xíngshì (形式, 形式)","circumstance, form, kind, modality, reading, interpretation, variety, shape, embodiment, species, mode, version, sort"
站,"zhàn (站, 站)",to stand
以為,"yǐwéi (以為, 以为)","imagine, think/believe/consider erroneously, treat, deem, believe, suspect, suppose, consider erroneously, repute, animadvert, esteem, trow, speak up, feel, count, believe/consider erroneously, calculate, view as, guess, ween, look, expect, think erroneously, think, hold, opine, interpret, sound off, take_for, consider, take for"
健康,"jiànkāng (健康, 健康)","healthy, sound"
擔任,"dānrèn (擔任, 担任)","hold the post of, take charge of, assume, take_charge, fill, shoulder, adopt, skipper, assume the office of, assume office of, act_as, take, act as, play, undertake, take over, take on"
人口,"rénkǒu (人口, 人口)",population
剛,"gāng (剛, 刚)","exactly, only a short while ago, just now, barely, only just, just"
特殊,"tèshū (特殊, 特殊)","exceptional, special, particular; peculiar, distinctive"
原來,"yuánlái (原來, 原来)","originally, formerly"
道,"dào (道, 道)","say, speak, talk, think, suppose"
傳統,"chuántǒng (傳統, 传统)","rule, patrimony, legacy, custom, heritage, convention, conventionality, routine, normal practice, common practice, tradition"
總是,"zǒngshì (總是, 总是)",always
前往,"qiánwǎng (前往, 前往)","depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for"
投資,"tóuzī (投資, 投资)",investment
加強,"jiāqiáng (加強, 加强)","strengthen, augment, reinforce"
不斷,"búduàn (不斷, 不断)","unceasingly,  continuously"
對象,"duìxiàng (對象, 对象)","boy/girl friend, mate, fair game, boy friend, prey, boy, object, quarry, target, girl friend, catch, match"
追求,"zhuīqiú (追求, 追求)","seek,  pursue,  woo,  court"
加上,"jiāshàng (加上, 加上)",conj.: in addition to to
思考,"sīkǎo (思考, 思考)","ponder over, reflect on"
製作,"zhìzuò (製作, 制作)","make, manufacture"
台北市,"táiběishì (台北市, 台北市)",capital of Republic of China on Taiwan
取得,"qǔdé (取得, 取得)","gain, acquire, obtain"
出來,"chūlái (出來, 出来)","come forward, issue, come up, step up, step to the fore, out toward one , come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge"
加入,"jiārù (加入, 加入)","join, accede to"
台,"tái (台, 台)",short for Taiwan
安排,"ānpái (安排, 安排)","arrange, plan, fix up, provide meals/etc"
兒童,"értóng (兒童, 儿童)","kid, nipper, enfant, tyke, youngster, small fry, minor, shaver, nestling, tike, child, chit, fry, children, infant, tiddler, small fry"
國中,"guózhōng (國中, 国中)","middle school, junior high school"
範圍,"fànwéi (範圍, 范围)","demesne, latitude, shot, compass, extensity, panorama, parameter, boundary, arena, stretch, territory, radius, spectrum, scope, extension, sphere, orbit, circumscription, limits, purview, grasp, extent, region, space, limit, hemisphere, horizon, envelope, bounds, realm, terrain, tether, sphere of influence, range, circuit, domain, precinct, reach, area, length, spread, bailiwick, ambit, con"
老人,"lǎorén (老人, 老人)","oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old timer, old man or woman, one's aged grandparents"
雙方,"shuāngfāng (雙方, 双方)","both, the two parties, two parties, both sides"
牠,"tā (牠, 牠)",it animal
北京,"běijīng (北京, 北京)","capital of Red China, Beijing, Peking, Beijing"
年輕,"niánqīng (年輕, 年轻)","junior, young"
結束,"jiéshù (結束, 结束)","end, close, conclude"
教,"jiāo (教, 教)",teach
程式,"chéngshì (程式, 程式)","formula, instruction, computer programme, pattern, form, modality, subprogram, routine, programme, course, function, subroutine, procedure, mode, order, sequence, computer program, program"
婦女,"fùnǔ (婦女, 妇女)","feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women"
找到,"zhǎodào (找到, 找到)","light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon"
彼此,"bǐcǐ (彼此, 彼此)","each other, one another, I/me too"
全球,"quánqiú (全球, 全球)","global, whole world"
成本,"chéngběn (成本, 成本)",cost
回到,"huídào (回到, 回到)","remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to"
部,"bù (部, 部)",m.[general]
而已,"éryǐ (而已, 而已)",particle: imparting finality that's all
之下,"zhīxià (之下, 之下)","under the condition of, under, beneath, below"
變,"biàn (變, 变)","change, transform"
期間,"qíjiān (期間, 期间)","length, period, time period, amount of time, duration, course, interim, period of time, time, standing, chapter, tract, space, term, streak, efflux"
非,"fēi (非, 非)",not
小姐,"xiǎojiě (小姐, 小姐)","Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle"
整體,"zhěngtǐ (整體, 整体)","integrity, allness, entirety, integer, integral, monolith, entireness, ensemble, wholeness, entire, tout ensemble, whole, totality, unity"
採用,"cǎiyòng (採用, 采用)","invoke, admit, assume, adoptive, use, adopt, select for use, embrace, accept, employment, take, introduce, take up, take_on, take over, take on, borrow, employ, adoption"
根本,"gēnběn (根本, 根本)","at all, utterly"
叫,"jiào (叫, 叫)",to be called
歐洲,"ōuzhōu (歐洲, 欧洲)",Europe
正在,"zhèngzài (正在, 正在)","course of, be, be in process"
加以,"jiāyǐ (加以, 加以)",handle; treat used before polysyllabic verbs or verbal nouns
充滿,"chōngmǎn (充滿, 充满)","swarm, be brimming, inhabit, be brimming with, teem, crawl, fill, lard, pullulate with, brim, be permeated with, bathe, be filled with, permeated with, abound in, implement, exuberate, fill up, flow, abound, burst, perfuse, foam, bristle, crackle, inform, pervade, be imbued with, simmer, glut, teem in, permeate, congest, be full of, reek, charge, suffuse, pullulate, overfill, swell"
系列,"xìliè (系列, 系列)","succession, set, spectrum, course, train, series"
隨著,"suízhe (隨著, 随着)","along with, in the wake of, in pace with"
早,"zǎo (早, 早)","early, long ago, in advance, beforehand, prematurely"
等等,"děngděng (等等, 等等)","conj.: and so on, etc"
頗,"pǒ (頗, 颇)","pretty, quite an, very, quite, jolly, fearfully, quite a, molto, middling, considerably, greatly"
不足,"bùzú (不足, 不足)","not be enough, not be worth doing sth. , cannot, should not"
總,"zǒng (總, 总)","always, invariably, anyway, after all, inevitably, sooner or later"
分析,"fēnxī (分析, 分析)",analyze
深,"shēn (深, 深)","deepen, penetrating, profound, deep, dark"
報告,"bàogào (報告, 报告)","report, speech,  student term paper"
不錯,"búcuò (不錯, 不错)","not bad, pretty good;correct, right"
在於,"zàiyū (在於, 在于)","be at, on, lie, in, depend on, lie_in, rest with, lie in, be determined by, consist_in, consist in"
旁,"páng (旁, 旁)","side, by the side of, other"
笑,"xiào (笑, 笑)","smile, laugh"
故,"gù (故, 故)","conj.: hence,  so,  therefore,  as a result"
消費者,"xiāofèizhě (消費者, 消费者)","customer, buyer, consumer"
意識,"yìshì (意識, 意识)","consciousness, witting, sensibility, conscious, conscience, ideology, awareness, subconscious, mentality"
公尺,"gōngchǐ (公尺, 公尺)",m.[standard]
民族,"mínzú (民族, 民族)","tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority"
為主,"wéizhǔ (為主, 为主)",give first place to
大眾,"dàzhòng (大眾, 大众)","the broad masses, roughscuff, the public, herd, concourse, commonality, riffraff, masses, commonness, the masses, throng, multitude, commonage, commonalty, plebeian, plebs, horde, the people/masses, community, the people, million, mass, public"
到底,"dàodǐ (到底, 到底)","to the end, at last, after all"
願,"yuàn (願, 愿)","will, wish, may, desire"
度,"dù (度, 度)",m.[activity]
大概,"dàgài (大概, 大概)","chiefly, if not, perchance, approximately, believably, maybe, presumably, plausibly, almost, conceivably, most likely, assumedly, ablings, likely, perhaps, probably, supposedly, ablins, credibly, assumably, belike"
對方,"duìfāng (對方, 对方)","other party, the other party, fellow, party, other side, adversary, other side/party"
官員,"guānyuán (官員, 官员)","beg, official, mandarinate, administrative official, office bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon"
發表,"fābiǎo (發表, 发表)","voice, enounce, enunciate, publish, free, sound, announce, pronounce, deliver, circulation, put_out, release, issue, vend, circularize, give, give_out, denote, present, circulate, publicize, blazon, promulgate, mouth"
進一步,"jìnyībù (進一步, 进一步)",go step further
自由,"zìyóu (自由, 自由)","free, unrestrained"
正確,"zhèngquè (正確, 正确)","correct, true, exact, proper, right"
豐富,"fēngfù (豐富, 丰富)","rich, abundant, plentiful"
國民黨,"guómíndǎng (國民黨, 国民党)","Kuomintang, Nationalist Party, Kuomintang KMT"
戰爭,"zhànzhēng (戰爭, 战争)","war, warfare"
怎麼樣,"zěnmeyàng (怎麼樣, 怎么样)",How are things?
只好,"zhǐhǎo (只好, 只好)","can only, have no choice but, have to, be forced to"
明顯,"míngxiǎn (明顯, 明显)","clear, obvious"
改革,"gǎigé (改革, 改革)",reform
表達,"biǎodá (表達, 表达)","express, convey, voice"
肯定,"kěndìng (肯定, 肯定)","affirm, approve, regard as positive"
強,"qiáng (強, 强)","strong, powerful, vigorous, better, slightly more than, plus"
高興,"gāoxìng (高興, 高兴)","glad,  happy,  cheerful,  merry,  pleased"
哪,"nǎ (哪, 哪)",det.: which
樹,"shù (樹, 树)","wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito"
適合,"shìhé (適合, 适合)","qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match"
茶,"chá (茶, 茶)",tea
別,"bié (別, 别)",don't
國外,"guówài (國外, 国外)",overseas
關心,"guānxīn (關心, 关心)",be concerned about
蘇聯,"sūlián (蘇聯, 苏联)","Russia, Soviet, USSR, Soviet Union"
成績,"chéngjī (成績, 成绩)","execution, carrying into action, achievement, result, showing, carrying out, performance, grade, success, doing, batting average"
人物,"rénwù (人物, 人物)","character, persona, original, spirit, figure painting, character in literature, figure, person in literature, person, fish, personage, personality"
聽到,"tīngdào (聽到, 听到)",hear
創造,"chuàngzào (創造, 创造)","create, produce, bring about"
不必,"búbì (不必, 不必)","need not, not have to"
不論,"búlùn (不論, 不论)",conj.: no matter how/who/what/etc.
尚,"shàng (尚, 尚)","still, yet, fairly, rather"
居民,"jūmín (居民, 居民)","municipality, population, citizen, denizen, townie, people, dweller, populace, residenter, resident, towny, inhabitant, habitant, liver"
不管,"bùguǎn (不管, 不管)","conj.: no matter,  regardless of"
美麗,"měilì (美麗, 美丽)",beautiful
伊拉克,"yīlākè (伊拉克, 伊拉克)","Iraq, Iraq, Irak"
帶來,"dàilái (帶來, 带来)","bring, redound, impart, bring_on, bring on, express, fetch, lend, convey, contribute, bring about, bestow, carry, bring oneself, add, usher, incur, land"
般,"bān (般, 般)","way, kind, variety, sort"
永遠,"yǒngyuǎn (永遠, 永远)","e'er, always, for_good, evermore, ever, forever"
感情,"gǎnqíng (感情, 感情)","warmheartedness, reticence, sensation, affection, susceptibility, feeling, feelings, heart, affective, withers, expression, tenderness, emotion, sentiment, fondness, soul, affectionateness, soulfulness, passion"
兒子,"érzi (兒子, 儿子)","viscount, man child, boy, male offspring, son"
這樣子,"zhèyàngzi (這樣子, 这样子)","so, such, like this, this way"
起,"qǐ (起, 起)",[aspect]
全部,"quánbù (全部, 全部)","lot, aggregate, all, gross, entirety, allness, shebang, caboodle, complete, bunch, sum, total, gamut, entire, det.: all, totality, whole"
